survey,question_concept_id,question,answer_concept_id,answer
COVID-19 Participant Experience (COPE) Survey,715713,Enter the number of months,,10
COVID-19 Participant Experience (COPE) Survey,715713,Enter the number of months,,11
COVID-19 Participant Experience (COPE) Survey,715713,Enter the number of months,,9
COVID-19 Participant Experience (COPE) Survey,715713,Enter the number of months,,6
COVID-19 Participant Experience (COPE) Survey,715713,Enter the number of months,,8
COVID-19 Participant Experience (COPE) Survey,715713,Enter the number of months,,3
COVID-19 Participant Experience (COPE) Survey,715713,Enter the number of months,,1
COVID-19 Participant Experience (COPE) Survey,715713,Enter the number of months,,5
COVID-19 Participant Experience (COPE) Survey,715713,Enter the number of months,,2
COVID-19 Participant Experience (COPE) Survey,715713,Enter the number of months,,7
COVID-19 Participant Experience (COPE) Survey,715719,Enter the number of weeks,903096,PMI: Skip
COVID-19 Participant Experience (COPE) Survey,715719,Enter the number of weeks,,9
COVID-19 Participant Experience (COPE) Survey,715719,Enter the number of weeks,,10
COVID-19 Participant Experience (COPE) Survey,715719,Enter the number of weeks,,16
COVID-19 Participant Experience (COPE) Survey,715719,Enter the number of weeks,,2
COVID-19 Participant Experience (COPE) Survey,715719,Enter the number of weeks,,8
COVID-19 Participant Experience (COPE) Survey,715719,Enter the number of weeks,,4
COVID-19 Participant Experience (COPE) Survey,715719,Enter the number of weeks,,3
COVID-19 Participant Experience (COPE) Survey,715719,Enter the number of weeks,,12
COVID-19 Participant Experience (COPE) Survey,715719,Enter the number of weeks,,6
COVID-19 Participant Experience (COPE) Survey,715719,Enter the number of weeks,,7
COVID-19 Participant Experience (COPE) Survey,715719,Enter the number of weeks,,5
COVID-19 Participant Experience (COPE) Survey,715719,Enter the number of weeks,,11
COVID-19 Participant Experience (COPE) Survey,715719,Enter the number of weeks,,15
COVID-19 Participant Experience (COPE) Survey,715719,Enter the number of weeks,,1
COVID-19 Participant Experience (COPE) Survey,715720,Enter the number of months,0,No matching concept
COVID-19 Participant Experience (COPE) Survey,715720,Enter the number of months,903096,PMI: Skip
COVID-19 Participant Experience (COPE) Survey,715720,Enter the number of months,,11
COVID-19 Participant Experience (COPE) Survey,715720,Enter the number of months,,7
COVID-19 Participant Experience (COPE) Survey,715720,Enter the number of months,,9
COVID-19 Participant Experience (COPE) Survey,715720,Enter the number of months,,1
COVID-19 Participant Experience (COPE) Survey,715720,Enter the number of months,,2
COVID-19 Participant Experience (COPE) Survey,715720,Enter the number of months,,10
COVID-19 Participant Experience (COPE) Survey,715720,Enter the number of months,,6
COVID-19 Participant Experience (COPE) Survey,715720,Enter the number of months,,4
COVID-19 Participant Experience (COPE) Survey,715720,Enter the number of months,,8
COVID-19 Participant Experience (COPE) Survey,715720,Enter the number of months,,3
COVID-19 Participant Experience (COPE) Survey,715720,Enter the number of months,,5
COVID-19 Participant Experience (COPE) Survey,715721,Enter the number of years,903096,PMI: Skip
COVID-19 Participant Experience (COPE) Survey,715721,Enter the number of years,,2
COVID-19 Participant Experience (COPE) Survey,715721,Enter the number of years,,42
COVID-19 Participant Experience (COPE) Survey,715721,Enter the number of years,,12
COVID-19 Participant Experience (COPE) Survey,715721,Enter the number of years,,18
COVID-19 Participant Experience (COPE) Survey,715721,Enter the number of years,,28
COVID-19 Participant Experience (COPE) Survey,715721,Enter the number of years,,58
COVID-19 Participant Experience (COPE) Survey,715721,Enter the number of years,,48
COVID-19 Participant Experience (COPE) Survey,715721,Enter the number of years,,17
COVID-19 Participant Experience (COPE) Survey,715721,Enter the number of years,,4
COVID-19 Participant Experience (COPE) Survey,715721,Enter the number of years,,9
COVID-19 Participant Experience (COPE) Survey,715721,Enter the number of years,,29
COVID-19 Participant Experience (COPE) Survey,715721,Enter the number of years,,46
COVID-19 Participant Experience (COPE) Survey,715721,Enter the number of years,,54
COVID-19 Participant Experience (COPE) Survey,715721,Enter the number of years,,53
COVID-19 Participant Experience (COPE) Survey,715721,Enter the number of years,,13
COVID-19 Participant Experience (COPE) Survey,715721,Enter the number of years,,37
COVID-19 Participant Experience (COPE) Survey,715721,Enter the number of years,,32
COVID-19 Participant Experience (COPE) Survey,715721,Enter the number of years,,55
COVID-19 Participant Experience (COPE) Survey,715721,Enter the number of years,,27
COVID-19 Participant Experience (COPE) Survey,715721,Enter the number of years,,35
COVID-19 Participant Experience (COPE) Survey,715721,Enter the number of years,,10
COVID-19 Participant Experience (COPE) Survey,715721,Enter the number of years,,34
COVID-19 Participant Experience (COPE) Survey,715721,Enter the number of years,,19
COVID-19 Participant Experience (COPE) Survey,715721,Enter the number of years,,49
COVID-19 Participant Experience (COPE) Survey,715721,Enter the number of years,,61
COVID-19 Participant Experience (COPE) Survey,715721,Enter the number of years,,67
COVID-19 Participant Experience (COPE) Survey,715721,Enter the number of years,,14
COVID-19 Participant Experience (COPE) Survey,715721,Enter the number of years,,43
COVID-19 Participant Experience (COPE) Survey,715721,Enter the number of years,,56
COVID-19 Participant Experience (COPE) Survey,715721,Enter the number of years,,51
COVID-19 Participant Experience (COPE) Survey,715721,Enter the number of years,,47
COVID-19 Participant Experience (COPE) Survey,715721,Enter the number of years,,38
COVID-19 Participant Experience (COPE) Survey,715721,Enter the number of years,,33
COVID-19 Participant Experience (COPE) Survey,715721,Enter the number of years,,99
COVID-19 Participant Experience (COPE) Survey,715721,Enter the number of years,,57
COVID-19 Participant Experience (COPE) Survey,715721,Enter the number of years,,70
COVID-19 Participant Experience (COPE) Survey,715721,Enter the number of years,,44
COVID-19 Participant Experience (COPE) Survey,715721,Enter the number of years,,23
COVID-19 Participant Experience (COPE) Survey,715721,Enter the number of years,,50
COVID-19 Participant Experience (COPE) Survey,715721,Enter the number of years,,36
COVID-19 Participant Experience (COPE) Survey,715721,Enter the number of years,,65
COVID-19 Participant Experience (COPE) Survey,715721,Enter the number of years,,25
COVID-19 Participant Experience (COPE) Survey,715721,Enter the number of years,,11
COVID-19 Participant Experience (COPE) Survey,715721,Enter the number of years,,39
COVID-19 Participant Experience (COPE) Survey,715721,Enter the number of years,,7
COVID-19 Participant Experience (COPE) Survey,715721,Enter the number of years,,31
COVID-19 Participant Experience (COPE) Survey,715721,Enter the number of years,,16
COVID-19 Participant Experience (COPE) Survey,715721,Enter the number of years,,8
COVID-19 Participant Experience (COPE) Survey,715721,Enter the number of years,,5
COVID-19 Participant Experience (COPE) Survey,715721,Enter the number of years,,60
COVID-19 Participant Experience (COPE) Survey,715721,Enter the number of years,,59
COVID-19 Participant Experience (COPE) Survey,715721,Enter the number of years,,79
COVID-19 Participant Experience (COPE) Survey,715721,Enter the number of years,,64
COVID-19 Participant Experience (COPE) Survey,715721,Enter the number of years,,20
COVID-19 Participant Experience (COPE) Survey,715721,Enter the number of years,,15
COVID-19 Participant Experience (COPE) Survey,715721,Enter the number of years,,45
COVID-19 Participant Experience (COPE) Survey,715721,Enter the number of years,,21
COVID-19 Participant Experience (COPE) Survey,715721,Enter the number of years,,41
COVID-19 Participant Experience (COPE) Survey,715721,Enter the number of years,,30
COVID-19 Participant Experience (COPE) Survey,715721,Enter the number of years,,1
COVID-19 Participant Experience (COPE) Survey,715721,Enter the number of years,,22
COVID-19 Participant Experience (COPE) Survey,715721,Enter the number of years,,26
COVID-19 Participant Experience (COPE) Survey,715721,Enter the number of years,,75
COVID-19 Participant Experience (COPE) Survey,715721,Enter the number of years,,24
COVID-19 Participant Experience (COPE) Survey,715721,Enter the number of years,,3
COVID-19 Participant Experience (COPE) Survey,715721,Enter the number of years,,6
COVID-19 Participant Experience (COPE) Survey,715721,Enter the number of years,,63
COVID-19 Participant Experience (COPE) Survey,715721,Enter the number of years,,62
COVID-19 Participant Experience (COPE) Survey,715721,Enter the number of years,,40
COVID-19 Participant Experience (COPE) Survey,715721,Enter the number of years,,52
COVID-19 Participant Experience (COPE) Survey,715722,Enter the number of weeks,903096,PMI: Skip
COVID-19 Participant Experience (COPE) Survey,715722,Enter the number of weeks,,1
COVID-19 Participant Experience (COPE) Survey,715722,Enter the number of weeks,,4
COVID-19 Participant Experience (COPE) Survey,715722,Enter the number of weeks,,5
COVID-19 Participant Experience (COPE) Survey,715722,Enter the number of weeks,,3
COVID-19 Participant Experience (COPE) Survey,715722,Enter the number of weeks,,2
COVID-19 Participant Experience (COPE) Survey,715722,Enter the number of weeks,,7
COVID-19 Participant Experience (COPE) Survey,715722,Enter the number of weeks,,6
COVID-19 Participant Experience (COPE) Survey,715722,Enter the number of weeks,,9
COVID-19 Participant Experience (COPE) Survey,715722,Enter the number of weeks,,10
COVID-19 Participant Experience (COPE) Survey,715722,Enter the number of weeks,,8
COVID-19 Participant Experience (COPE) Survey,715723,Enter the number of years,903096,PMI: Skip
COVID-19 Participant Experience (COPE) Survey,715723,Enter the number of years,,50
COVID-19 Participant Experience (COPE) Survey,715723,Enter the number of years,,1
COVID-19 Participant Experience (COPE) Survey,715723,Enter the number of years,,10
COVID-19 Participant Experience (COPE) Survey,715723,Enter the number of years,,65
COVID-19 Participant Experience (COPE) Survey,715723,Enter the number of years,,4
COVID-19 Participant Experience (COPE) Survey,715723,Enter the number of years,,7
COVID-19 Participant Experience (COPE) Survey,715723,Enter the number of years,,20
COVID-19 Participant Experience (COPE) Survey,715723,Enter the number of years,,11
COVID-19 Participant Experience (COPE) Survey,715723,Enter the number of years,,3
COVID-19 Participant Experience (COPE) Survey,715723,Enter the number of years,,56
COVID-19 Participant Experience (COPE) Survey,715723,Enter the number of years,,33
COVID-19 Participant Experience (COPE) Survey,715723,Enter the number of years,,37
COVID-19 Participant Experience (COPE) Survey,715723,Enter the number of years,,55
COVID-19 Participant Experience (COPE) Survey,715723,Enter the number of years,,19
COVID-19 Participant Experience (COPE) Survey,715723,Enter the number of years,,22
COVID-19 Participant Experience (COPE) Survey,715723,Enter the number of years,,42
COVID-19 Participant Experience (COPE) Survey,715723,Enter the number of years,,13
COVID-19 Participant Experience (COPE) Survey,715723,Enter the number of years,,2
COVID-19 Participant Experience (COPE) Survey,715723,Enter the number of years,,15
COVID-19 Participant Experience (COPE) Survey,715723,Enter the number of years,,26
COVID-19 Participant Experience (COPE) Survey,715723,Enter the number of years,,18
COVID-19 Participant Experience (COPE) Survey,715723,Enter the number of years,,12
COVID-19 Participant Experience (COPE) Survey,715723,Enter the number of years,,70
COVID-19 Participant Experience (COPE) Survey,715723,Enter the number of years,,14
COVID-19 Participant Experience (COPE) Survey,715723,Enter the number of years,,8
COVID-19 Participant Experience (COPE) Survey,715723,Enter the number of years,,43
COVID-19 Participant Experience (COPE) Survey,715723,Enter the number of years,,45
COVID-19 Participant Experience (COPE) Survey,715723,Enter the number of years,,30
COVID-19 Participant Experience (COPE) Survey,715723,Enter the number of years,,25
COVID-19 Participant Experience (COPE) Survey,715723,Enter the number of years,,0
COVID-19 Participant Experience (COPE) Survey,715723,Enter the number of years,,6
COVID-19 Participant Experience (COPE) Survey,715723,Enter the number of years,,9
COVID-19 Participant Experience (COPE) Survey,715723,Enter the number of years,,35
COVID-19 Participant Experience (COPE) Survey,715723,Enter the number of years,,48
COVID-19 Participant Experience (COPE) Survey,715723,Enter the number of years,,17
COVID-19 Participant Experience (COPE) Survey,715723,Enter the number of years,,69
COVID-19 Participant Experience (COPE) Survey,715723,Enter the number of years,,21
COVID-19 Participant Experience (COPE) Survey,715723,Enter the number of years,,24
COVID-19 Participant Experience (COPE) Survey,715723,Enter the number of years,,34
COVID-19 Participant Experience (COPE) Survey,715723,Enter the number of years,,5
COVID-19 Participant Experience (COPE) Survey,715723,Enter the number of years,,60
COVID-19 Participant Experience (COPE) Survey,715723,Enter the number of years,,31
COVID-19 Participant Experience (COPE) Survey,715723,Enter the number of years,,81
COVID-19 Participant Experience (COPE) Survey,715723,Enter the number of years,,40
COVID-19 Participant Experience (COPE) Survey,715723,Enter the number of years,,36
COVID-19 Participant Experience (COPE) Survey,715723,Enter the number of years,,99
COVID-19 Participant Experience (COPE) Survey,715723,Enter the number of years,,29
COVID-19 Participant Experience (COPE) Survey,715723,Enter the number of years,,44
COVID-19 Participant Experience (COPE) Survey,715723,Enter the number of years,,68
COVID-19 Participant Experience (COPE) Survey,903629,How much time did you usually spend doing moderate physical activities on one of those those days (minutes per day)?,903096,PMI: Skip
COVID-19 Participant Experience (COPE) Survey,903629,How much time did you usually spend doing moderate physical activities on one of those those days (minutes per day)?,,25
COVID-19 Participant Experience (COPE) Survey,903629,How much time did you usually spend doing moderate physical activities on one of those those days (minutes per day)?,,90
COVID-19 Participant Experience (COPE) Survey,903629,How much time did you usually spend doing moderate physical activities on one of those those days (minutes per day)?,,225
COVID-19 Participant Experience (COPE) Survey,903629,How much time did you usually spend doing moderate physical activities on one of those those days (minutes per day)?,,17
COVID-19 Participant Experience (COPE) Survey,903629,How much time did you usually spend doing moderate physical activities on one of those those days (minutes per day)?,,480
COVID-19 Participant Experience (COPE) Survey,903629,How much time did you usually spend doing moderate physical activities on one of those those days (minutes per day)?,,76
COVID-19 Participant Experience (COPE) Survey,903629,How much time did you usually spend doing moderate physical activities on one of those those days (minutes per day)?,,98
COVID-19 Participant Experience (COPE) Survey,903629,How much time did you usually spend doing moderate physical activities on one of those those days (minutes per day)?,,170
COVID-19 Participant Experience (COPE) Survey,903629,How much time did you usually spend doing moderate physical activities on one of those those days (minutes per day)?,,430
COVID-19 Participant Experience (COPE) Survey,903629,How much time did you usually spend doing moderate physical activities on one of those those days (minutes per day)?,,52
COVID-19 Participant Experience (COPE) Survey,903629,How much time did you usually spend doing moderate physical activities on one of those those days (minutes per day)?,,67
COVID-19 Participant Experience (COPE) Survey,903629,How much time did you usually spend doing moderate physical activities on one of those those days (minutes per day)?,,24
COVID-19 Participant Experience (COPE) Survey,903629,How much time did you usually spend doing moderate physical activities on one of those those days (minutes per day)?,,175
COVID-19 Participant Experience (COPE) Survey,903629,How much time did you usually spend doing moderate physical activities on one of those those days (minutes per day)?,,34
COVID-19 Participant Experience (COPE) Survey,903629,How much time did you usually spend doing moderate physical activities on one of those those days (minutes per day)?,,1299
COVID-19 Participant Experience (COPE) Survey,903629,How much time did you usually spend doing moderate physical activities on one of those those days (minutes per day)?,,180
COVID-19 Participant Experience (COPE) Survey,903629,How much time did you usually spend doing moderate physical activities on one of those those days (minutes per day)?,,32
COVID-19 Participant Experience (COPE) Survey,903629,How much time did you usually spend doing moderate physical activities on one of those those days (minutes per day)?,,500
COVID-19 Participant Experience (COPE) Survey,903629,How much time did you usually spend doing moderate physical activities on one of those those days (minutes per day)?,,26
COVID-19 Participant Experience (COPE) Survey,903629,How much time did you usually spend doing moderate physical activities on one of those those days (minutes per day)?,,53
COVID-19 Participant Experience (COPE) Survey,903629,How much time did you usually spend doing moderate physical activities on one of those those days (minutes per day)?,,21
COVID-19 Participant Experience (COPE) Survey,903629,How much time did you usually spend doing moderate physical activities on one of those those days (minutes per day)?,,35
COVID-19 Participant Experience (COPE) Survey,903629,How much time did you usually spend doing moderate physical activities on one of those those days (minutes per day)?,,5
COVID-19 Participant Experience (COPE) Survey,903629,How much time did you usually spend doing moderate physical activities on one of those those days (minutes per day)?,,240
COVID-19 Participant Experience (COPE) Survey,903629,How much time did you usually spend doing moderate physical activities on one of those those days (minutes per day)?,,1440
COVID-19 Participant Experience (COPE) Survey,903629,How much time did you usually spend doing moderate physical activities on one of those those days (minutes per day)?,,140
COVID-19 Participant Experience (COPE) Survey,903629,How much time did you usually spend doing moderate physical activities on one of those those days (minutes per day)?,,1080
COVID-19 Participant Experience (COPE) Survey,903629,How much time did you usually spend doing moderate physical activities on one of those those days (minutes per day)?,,700
COVID-19 Participant Experience (COPE) Survey,903629,How much time did you usually spend doing moderate physical activities on one of those those days (minutes per day)?,,59
COVID-19 Participant Experience (COPE) Survey,903629,How much time did you usually spend doing moderate physical activities on one of those those days (minutes per day)?,,28
COVID-19 Participant Experience (COPE) Survey,903629,How much time did you usually spend doing moderate physical activities on one of those those days (minutes per day)?,,12
COVID-19 Participant Experience (COPE) Survey,903629,How much time did you usually spend doing moderate physical activities on one of those those days (minutes per day)?,,80
COVID-19 Participant Experience (COPE) Survey,903629,How much time did you usually spend doing moderate physical activities on one of those those days (minutes per day)?,,220
COVID-19 Participant Experience (COPE) Survey,903629,How much time did you usually spend doing moderate physical activities on one of those those days (minutes per day)?,,99
COVID-19 Participant Experience (COPE) Survey,903629,How much time did you usually spend doing moderate physical activities on one of those those days (minutes per day)?,,800
COVID-19 Participant Experience (COPE) Survey,903629,How much time did you usually spend doing moderate physical activities on one of those those days (minutes per day)?,,550
COVID-19 Participant Experience (COPE) Survey,903629,How much time did you usually spend doing moderate physical activities on one of those those days (minutes per day)?,,121
COVID-19 Participant Experience (COPE) Survey,903629,How much time did you usually spend doing moderate physical activities on one of those those days (minutes per day)?,,8
COVID-19 Participant Experience (COPE) Survey,903629,How much time did you usually spend doing moderate physical activities on one of those those days (minutes per day)?,,100
COVID-19 Participant Experience (COPE) Survey,903629,How much time did you usually spend doing moderate physical activities on one of those those days (minutes per day)?,,46
COVID-19 Participant Experience (COPE) Survey,903629,How much time did you usually spend doing moderate physical activities on one of those those days (minutes per day)?,,78
COVID-19 Participant Experience (COPE) Survey,903629,How much time did you usually spend doing moderate physical activities on one of those those days (minutes per day)?,,780
COVID-19 Participant Experience (COPE) Survey,903629,How much time did you usually spend doing moderate physical activities on one of those those days (minutes per day)?,,47
COVID-19 Participant Experience (COPE) Survey,903629,How much time did you usually spend doing moderate physical activities on one of those those days (minutes per day)?,,310
COVID-19 Participant Experience (COPE) Survey,903629,How much time did you usually spend doing moderate physical activities on one of those those days (minutes per day)?,,70
COVID-19 Participant Experience (COPE) Survey,903629,How much time did you usually spend doing moderate physical activities on one of those those days (minutes per day)?,,210
COVID-19 Participant Experience (COPE) Survey,903629,How much time did you usually spend doing moderate physical activities on one of those those days (minutes per day)?,,270
COVID-19 Participant Experience (COPE) Survey,903629,How much time did you usually spend doing moderate physical activities on one of those those days (minutes per day)?,,23
COVID-19 Participant Experience (COPE) Survey,903629,How much time did you usually spend doing moderate physical activities on one of those those days (minutes per day)?,,65
COVID-19 Participant Experience (COPE) Survey,903629,How much time did you usually spend doing moderate physical activities on one of those those days (minutes per day)?,,360
COVID-19 Participant Experience (COPE) Survey,903629,How much time did you usually spend doing moderate physical activities on one of those those days (minutes per day)?,,160
COVID-19 Participant Experience (COPE) Survey,903629,How much time did you usually spend doing moderate physical activities on one of those those days (minutes per day)?,,18
COVID-19 Participant Experience (COPE) Survey,903629,How much time did you usually spend doing moderate physical activities on one of those those days (minutes per day)?,,38
COVID-19 Participant Experience (COPE) Survey,903629,How much time did you usually spend doing moderate physical activities on one of those those days (minutes per day)?,,600
COVID-19 Participant Experience (COPE) Survey,903629,How much time did you usually spend doing moderate physical activities on one of those those days (minutes per day)?,,57
COVID-19 Participant Experience (COPE) Survey,903629,How much time did you usually spend doing moderate physical activities on one of those those days (minutes per day)?,,43
COVID-19 Participant Experience (COPE) Survey,903629,How much time did you usually spend doing moderate physical activities on one of those those days (minutes per day)?,,1000
COVID-19 Participant Experience (COPE) Survey,903629,How much time did you usually spend doing moderate physical activities on one of those those days (minutes per day)?,,9
COVID-19 Participant Experience (COPE) Survey,903629,How much time did you usually spend doing moderate physical activities on one of those those days (minutes per day)?,,130
COVID-19 Participant Experience (COPE) Survey,903629,How much time did you usually spend doing moderate physical activities on one of those those days (minutes per day)?,,154
COVID-19 Participant Experience (COPE) Survey,903629,How much time did you usually spend doing moderate physical activities on one of those those days (minutes per day)?,,31
COVID-19 Participant Experience (COPE) Survey,903629,How much time did you usually spend doing moderate physical activities on one of those those days (minutes per day)?,,82
COVID-19 Participant Experience (COPE) Survey,903629,How much time did you usually spend doing moderate physical activities on one of those those days (minutes per day)?,,190
COVID-19 Participant Experience (COPE) Survey,903629,How much time did you usually spend doing moderate physical activities on one of those those days (minutes per day)?,,85
COVID-19 Participant Experience (COPE) Survey,903629,How much time did you usually spend doing moderate physical activities on one of those those days (minutes per day)?,,16
COVID-19 Participant Experience (COPE) Survey,903629,How much time did you usually spend doing moderate physical activities on one of those those days (minutes per day)?,,510
COVID-19 Participant Experience (COPE) Survey,903629,How much time did you usually spend doing moderate physical activities on one of those those days (minutes per day)?,,375
COVID-19 Participant Experience (COPE) Survey,903629,How much time did you usually spend doing moderate physical activities on one of those those days (minutes per day)?,,40
COVID-19 Participant Experience (COPE) Survey,903629,How much time did you usually spend doing moderate physical activities on one of those those days (minutes per day)?,,280
COVID-19 Participant Experience (COPE) Survey,903629,How much time did you usually spend doing moderate physical activities on one of those those days (minutes per day)?,,14
COVID-19 Participant Experience (COPE) Survey,903629,How much time did you usually spend doing moderate physical activities on one of those those days (minutes per day)?,,3
COVID-19 Participant Experience (COPE) Survey,903629,How much time did you usually spend doing moderate physical activities on one of those those days (minutes per day)?,,200
COVID-19 Participant Experience (COPE) Survey,903629,How much time did you usually spend doing moderate physical activities on one of those those days (minutes per day)?,,29
COVID-19 Participant Experience (COPE) Survey,903629,How much time did you usually spend doing moderate physical activities on one of those those days (minutes per day)?,,51
COVID-19 Participant Experience (COPE) Survey,903629,How much time did you usually spend doing moderate physical activities on one of those those days (minutes per day)?,,126
COVID-19 Participant Experience (COPE) Survey,903629,How much time did you usually spend doing moderate physical activities on one of those those days (minutes per day)?,,1245
COVID-19 Participant Experience (COPE) Survey,903629,How much time did you usually spend doing moderate physical activities on one of those those days (minutes per day)?,,720
COVID-19 Participant Experience (COPE) Survey,903629,How much time did you usually spend doing moderate physical activities on one of those those days (minutes per day)?,,840
COVID-19 Participant Experience (COPE) Survey,903629,How much time did you usually spend doing moderate physical activities on one of those those days (minutes per day)?,,20
COVID-19 Participant Experience (COPE) Survey,903629,How much time did you usually spend doing moderate physical activities on one of those those days (minutes per day)?,,145
COVID-19 Participant Experience (COPE) Survey,903629,How much time did you usually spend doing moderate physical activities on one of those those days (minutes per day)?,,350
COVID-19 Participant Experience (COPE) Survey,903629,How much time did you usually spend doing moderate physical activities on one of those those days (minutes per day)?,,450
COVID-19 Participant Experience (COPE) Survey,903629,How much time did you usually spend doing moderate physical activities on one of those those days (minutes per day)?,,60
COVID-19 Participant Experience (COPE) Survey,903629,How much time did you usually spend doing moderate physical activities on one of those those days (minutes per day)?,,110
COVID-19 Participant Experience (COPE) Survey,903629,How much time did you usually spend doing moderate physical activities on one of those those days (minutes per day)?,,19
COVID-19 Participant Experience (COPE) Survey,903629,How much time did you usually spend doing moderate physical activities on one of those those days (minutes per day)?,,481
COVID-19 Participant Experience (COPE) Survey,903629,How much time did you usually spend doing moderate physical activities on one of those those days (minutes per day)?,,63
COVID-19 Participant Experience (COPE) Survey,903629,How much time did you usually spend doing moderate physical activities on one of those those days (minutes per day)?,,37
COVID-19 Participant Experience (COPE) Survey,903629,How much time did you usually spend doing moderate physical activities on one of those those days (minutes per day)?,,49
COVID-19 Participant Experience (COPE) Survey,903629,How much time did you usually spend doing moderate physical activities on one of those those days (minutes per day)?,,108
COVID-19 Participant Experience (COPE) Survey,903629,How much time did you usually spend doing moderate physical activities on one of those those days (minutes per day)?,,58
COVID-19 Participant Experience (COPE) Survey,903629,How much time did you usually spend doing moderate physical activities on one of those those days (minutes per day)?,,660
COVID-19 Participant Experience (COPE) Survey,903629,How much time did you usually spend doing moderate physical activities on one of those those days (minutes per day)?,,243
COVID-19 Participant Experience (COPE) Survey,903629,How much time did you usually spend doing moderate physical activities on one of those those days (minutes per day)?,,55
COVID-19 Participant Experience (COPE) Survey,903629,How much time did you usually spend doing moderate physical activities on one of those those days (minutes per day)?,,1
COVID-19 Participant Experience (COPE) Survey,903629,How much time did you usually spend doing moderate physical activities on one of those those days (minutes per day)?,,0
COVID-19 Participant Experience (COPE) Survey,903629,How much time did you usually spend doing moderate physical activities on one of those those days (minutes per day)?,,120
COVID-19 Participant Experience (COPE) Survey,903629,How much time did you usually spend doing moderate physical activities on one of those those days (minutes per day)?,,300
COVID-19 Participant Experience (COPE) Survey,903629,How much time did you usually spend doing moderate physical activities on one of those those days (minutes per day)?,,75
COVID-19 Participant Experience (COPE) Survey,903629,How much time did you usually spend doing moderate physical activities on one of those those days (minutes per day)?,,330
COVID-19 Participant Experience (COPE) Survey,903629,How much time did you usually spend doing moderate physical activities on one of those those days (minutes per day)?,,36
COVID-19 Participant Experience (COPE) Survey,903629,How much time did you usually spend doing moderate physical activities on one of those those days (minutes per day)?,,105
COVID-19 Participant Experience (COPE) Survey,903629,How much time did you usually spend doing moderate physical activities on one of those those days (minutes per day)?,,11
COVID-19 Participant Experience (COPE) Survey,903629,How much time did you usually spend doing moderate physical activities on one of those those days (minutes per day)?,,30
COVID-19 Participant Experience (COPE) Survey,903629,How much time did you usually spend doing moderate physical activities on one of those those days (minutes per day)?,,33
COVID-19 Participant Experience (COPE) Survey,903629,How much time did you usually spend doing moderate physical activities on one of those those days (minutes per day)?,,39
COVID-19 Participant Experience (COPE) Survey,903629,How much time did you usually spend doing moderate physical activities on one of those those days (minutes per day)?,,50
COVID-19 Participant Experience (COPE) Survey,903629,How much time did you usually spend doing moderate physical activities on one of those those days (minutes per day)?,,6
COVID-19 Participant Experience (COPE) Survey,903629,How much time did you usually spend doing moderate physical activities on one of those those days (minutes per day)?,,185
COVID-19 Participant Experience (COPE) Survey,903629,How much time did you usually spend doing moderate physical activities on one of those those days (minutes per day)?,,44
COVID-19 Participant Experience (COPE) Survey,903629,How much time did you usually spend doing moderate physical activities on one of those those days (minutes per day)?,,1300
